name,h1,h2,N1,N2,vocabulary,length,calculated_length,volume
VReduce(Max),iron,2,8,4,8,10,12,26.0,39.863137138648355
ColorThreshold,iron,3,11,7,14,14,21,42.808635307173745,79.95445336320968
BottleneckBlock,iron,4,33,24,48,37,72,174.46500593882897,375.08064232528443
EdgeDetect,iron,5,12,9,17,17,26,54.62919048309069,106.27403387250884
Conv2D(FusedReLU),iron,2,10,8,16,12,24,35.219280948873624,86.03910001730776
VSOp(Mul),iron,7,13,8,16,20,24,67.75720079023742,103.72627427729671
Passthrough(DMA),iron,3,14,7,14,17,21,58.05785641096992,85.83671966625714
VVOp(Mul),iron,4,12,6,12,16,18,51.01955000865388,72.0
VSoftMax,iron,5,16,12,24,21,36,75.60964047443682,158.12342722003538
VVOp(Add),iron,4,12,6,12,16,18,51.01955000865388,72.0
VVOp(AddKern),iron,5,18,17,34,23,51,86.66829050039843,230.70165975890765
ResNetConv2x,iron,5,63,74,148,68,222,388.17827565493155,1351.4167507575755
VVOp(Mod),iron,4,12,6,12,16,18,51.01955000865388,72.0
MVAdd,iron,4,17,11,22,21,33,77.48686830125578,144.94647495169912
VReduce(Min),iron,2,8,4,8,10,12,26.0,39.863137138648355
VReLU,iron,5,16,13,26,21,39,75.60964047443682,171.30037948837168
VReduce(Add),iron,2,8,4,8,10,12,26.0,39.863137138648355
VVOp(MulKern),iron,5,18,17,34,23,51,86.66829050039843,230.70165975890765
GEMMSingle,iron,11,77,73,146,88,219,520.5963114385177,1414.6155244815684
MVMul,iron,3,18,13,26,21,39,79.81353752812508,171.30037948837168
Passthrough(Kernel),iron,6,12,7,14,18,21,58.52932501298082,87.56842503028855
ColorDetect,iron,2,8,6,12,10,18,26.0,59.794705707972525
GEMM,iron,12,132,141,278,144,419,972.8795737639698,3004.198575604329
Conv2D(),iron,2,12,9,18,14,27,45.01955000865388,102.7985828955553
VSOp(Add),iron,2,4,2,4,6,6,10.0,15.509775004326936
Passthrough(PyKernel),iron,5,9,5,10,14,15,40.13896548741762,57.110323830864054
MTranspose,iron,4,7,4,7,11,11,27.651484454403228,38.053747805010275
VReduce(Max),iron_ext,0,0,0,0,0,0,0,0
ColorThreshold,iron_ext,3,13,9,18,16,27,52.860603837997665,108.0
BottleneckBlock,iron_ext,4,25,16,32,29,48,124.09640474436812,233.1830877661235
EdgeDetect,iron_ext,6,15,11,21,21,32,74.11313393845472,140.55415752892034
Conv2D(FusedReLU),iron_ext,2,10,8,16,12,24,35.219280948873624,86.03910001730776
VSOp(Mul),iron_ext,6,12,7,14,18,21,58.52932501298082,87.56842503028855
Passthrough(DMA),iron_ext,3,12,6,12,15,18,47.77443751081735,70.32403072095333
VVOp(Mul),iron_ext,4,10,5,10,14,15,41.219280948873624,57.110323830864054
VSoftMax,iron_ext,3,8,9,18,11,27,28.75488750216347,93.40465370320705
VVOp(Add),iron_ext,4,10,5,10,14,15,41.219280948873624,57.110323830864054
VVOp(AddKern),iron_ext,2,14,14,28,16,42,55.30296890880645,168.0
ResNetConv2x,iron_ext,7,58,66,130,65,196,359.41438217180234,1180.384091353577
VVOp(Mod),iron_ext,4,10,5,10,14,15,41.219280948873624,57.110323830864054
MVAdd,iron_ext,4,11,10,20,15,30,46.053747805010275,117.20671786825557
VReduce(Min),iron_ext,0,0,0,0,0,0,0,0
VReLU,iron_ext,2,11,10,20,13,30,40.053747805010275,111.01319154423277
VReduce(Add),iron_ext,0,0,0,0,0,0,0,0
VVOp(MulKern),iron_ext,2,14,14,28,16,42,55.30296890880645,168.0
GEMMSingle,iron_ext,12,53,63,119,65,182,346.5993341005035,1096.0709419711786
MVMul,iron_ext,2,6,4,8,8,12,17.509775004326936,36.0
Passthrough(Kernel),iron_ext,6,11,7,14,17,21,53.563522809337215,85.83671966625714
ColorDetect,iron_ext,2,6,4,8,8,12,17.509775004326936,36.0
GEMM,iron_ext,11,96,118,235,107,353,670.2101478742413,2379.7378461996045
Conv2D(),iron_ext,2,12,9,18,14,27,45.01955000865388,102.7985828955553
VSOp(Add),iron_ext,2,4,2,4,6,6,10.0,15.509775004326936
Passthrough(PyKernel),iron_ext,5,8,5,10,13,15,35.60964047443681,55.506595772116384
MTranspose,iron_ext,3,5,3,5,8,8,16.36452797660028,24.0
