name,design,latency
iron,ColorDetect,5360.07
iron,MVAdd,2375.98
iron,VVOp(Mod),133.36
iron,ColorThreshold,672.07
iron,MSAdd,116.28
iron,ResNetConv2x,1444
iron,Conv2D(FusedReLU),0
iron,VSoftMax,239801
iron,MVMul,661.71
iron,VVOp(AddKern),179.44
iron,VReduce(Max),118.24
iron,MTranspose,136.99
iron,VVOp(MulKern),175.67
iron,GEMM,413.04
iron,VVOp(Mul),120.18
iron,VVOp(Add),122.97
iron,Copy(Kern),118.39
iron,VReLU,176.69
iron,VReduce(Add),117.21
iron,EdgeDetect,7473.52
iron,Conv2D(),192
iron,Copy(ExtKern),182.72
iron,VReduce(Min),117.29
iron,Copy(DMA),133.99
iron,VSOp(Add),121.31
iron,VSOp(Mul),114.54
iron,BBlock,3603
iron_ext,ColorDetect,5813.1
iron_ext,MVAdd,2998.89
iron_ext,VVOp(Mod),125.62
iron_ext,ColorThreshold,677.56
iron_ext,MSAdd,105.06
iron_ext,ResNetConv2x,3251
iron_ext,Conv2D(FusedReLU),0
iron_ext,VSoftMax,239785
iron_ext,MVMul,666.93
iron_ext,VVOp(AddKern),171.35
iron_ext,VReduce(Max),112.78
iron_ext,MTranspose,133.37
iron_ext,VVOp(MulKern),166.06
iron_ext,GEMM,422.93
iron_ext,VVOp(Mul),119.95
iron_ext,VVOp(Add),117.71
iron_ext,Copy(Kern),117.15
iron_ext,VReLU,171.48
iron_ext,VReduce(Add),128.94
iron_ext,EdgeDetect,7467.29
iron_ext,Conv2D(),177
iron_ext,Copy(ExtKern),181.09
iron_ext,VReduce(Min),116.3
iron_ext,Copy(DMA),128.81
iron_ext,VSOp(Add),127.86
iron_ext,VSOp(Mul),116.77
iron_ext,BBlock,3611
